,ONS SOC,ONS Title,Display,Exposure,Proximity,RIF,Employment (tot),Employment (m),Employment (f),Median weekly pay,Mean weekly pay,Median weekly pay (m),Mean weekly pay (m),Median weekly pay (f),Mean weekly pay (f),Female percent
44,2316,Special needs education teaching professionals,0,49,83,68.15423684555495,87400,17700,69700,676.6,563.7,714.5,696.4,670.7,660.6,0.797482838
45,2317,Senior professionals of educational establishments,0,21,38,30.7001628660175,101900,30300,71700,1066.2,1059.3,1163.8,1209.5,1005.3,1002.4,0.7036310109999999
46,2319,Teaching and other educational professionals n.e.c.,0,36,88,67.23094525588644,238200,75600,162600,521.9,393.7,595.6,627.5,490.6,543.1,0.682619647
47,2412,Barristers and judges,0,34,52,43.931765272977586,26700,14700,12000,756.7,644.4,-1.0,863.4,712.8,736.4,0.449438202
48,2413,Solicitors,0,14,34,25.999999999999996,129700,59800,69900,818.9,924.6,891.8,1128.3,747.2,831.5,0.538936006
49,2419,Legal professionals n.e.c.,0,0,41,28.991378028648445,62100,29600,32500,1437.4,1470.1,1611.3,1747.4,1345.5,1415.8,0.5233494360000001
50,2421,Chartered and certified accountants,0,1,39,27.58622844826744,182300,105100,77200,753.2,745.8,766.6,824.0,734.5,778.3,0.423477784
51,2423,Management consultants and business analysts,0,2,41,29.025850547399983,200100,127800,72300,796.5,836.9,832.0,901.6,756.0,821.1,0.36131934
52,2424,Business and financial project management professionals,0,0,47,33.23401871576773,263600,152400,111200,952.4,1021.3,1028.0,1119.9,816.9,906.3,0.42185129
53,2425,"Actuaries, economists and statisticians",0,6,33,23.71708245126284,61400,43100,18300,881.4,1006.9,881.6,1072.6,785.2,893.0,0.298045603
54,2426,Business and related research professionals,0,2,39,27.61340254296815,54200,28000,26200,674.8,649.0,680.6,728.6,655.2,676.2,0.483394834
55,2429,"Business, research and administrative professionals n.e.c.",0,23,45,35.73513677041127,68300,31600,36700,924.3,820.5,958.4,906.2,797.6,841.6,0.537335286
56,2431,Architects,0,2,53,37.50333318519835,56600,43000,13700,801.1,876.4,840.1,954.1,714.8,750.7,0.24204947
57,2432,Town planning officers,0,6,54,38.418745424597084,20400,14100,6300,602.6,710.8,727.6,917.9,524.5,552.3,0.308823529
58,2433,Quantity surveyors,0,9,48,34.53259329966401,55400,48600,6800,862.4,853.7,868.4,887.3,749.5,840.8,0.122743682
59,2434,Chartered surveyors,0,9,48,34.53259329966401,56200,47700,8500,721.0,741.9,726.5,781.9,705.7,726.3,0.151245552
60,2435,Chartered architectural technologists,0,3,43,30.479501308256342,5200,4500,-1,728.9,796.1,725.4,799.0,-1.0,-1.0,0.0
61,2436,Construction project managers and related professionals,0,4,50,35.4682957019364,80800,69200,11600,728.3,774.4,765.1,834.5,639.2,691.6,0.143564356
